ID,Name,Age,Email,JoinDate,Salary,Date
1,Grace,,grace@example.com,20200101,,20210620
2,Dave,30,dave@example.com,20210620,120000,20220830
3,Eve,30,eve@example.com,20190715,90000,20210310
4,Grace,40,grace@example.com,20220830,60000,20220830
5,Charlie,30,charlie@example.com,20190715,120000,20220830
11,Heidi,30,heidi@example.com,20190715,60000,20190715
7,Eve,50,eve@example.com,20220830,70000,20210310
8,Eve,40,eve@example.com,20200101,60000,20210310
9,Grace,50,grace@example.com,20210620,50000,20210310
10,Bob,,bob@example.com,20200101,,20220830
11,Charlie,,charlie@example.com,20210310,90000,20210620
12,Grace,50,grace@example.com,20200101,80000,20210310
13,Charlie,,charlie@example.com,20210310,60000,20181111
14,Charlie,40,charlie@example.com,20200101,120000,20220830
15,Heidi,25,heidi@example.com,20220830,50000,20190715
16,Eve,50,eve@example.com,20210620,80000,20210620
17,Dave,45,dave@example.com,20210310,90000,20181111
18,Heidi,45,heidi@example.com,20181111,80000,20181111
19,Heidi,30,,20200101,50000,20190715
20,Charlie,,charlie@example.com,20200101,,20210620
21,None,45,frank@example.com,20200101,,20220830
22,Eve,30,eve@example.com,20210310,100000,20200101
23,Bob,25,bob@example.com,20200101,,20210620
24,Heidi,40,heidi@example.com,20200101,100000,20190715
25,Dave,40,dave@example.com,20220830,80000,20181111
26,Frank,40,frank@example.com,20181111,70000,20220830
27,Frank,45,frank@example.com,20220830,120000,20210620
28,Bob,25,bob@example.com,20220830,120000,20200101
29,Heidi,45,heidi@example.com,20220830,80000,20200101
30,Dave,,dave@example.com,20220830,60000,20210310
31,Eve,45,invalid_email,20220830,60000,20210310
32,Alice,25,,20210620,,20190715
33,Dave,25,dave@example.com,20200101,120000,20210620
34,Bob,,bob@example.com,20220830,120000,20210620
35,Frank,25,frank@example.com,20200101,100000,20181111
36,Eve,25,eve@example.com,20200101,70000,20181111
37,Dave,40,dave@example.com,20190715,50000,20181111
38,Alice,,alice@example.com,20210620,60000,20210310
39,Alice,35,alice@example.com,20220830,120000,20210620
40,Charlie,35,charlie@example.com,20200101,100000,20210620
41,Charlie,25,charlie@example.com,20210310,,20200101
42,Grace,35,,20181111,,20210310
43,Bob,35,bob@example.com,20200101,,20220830
44,Heidi,25,heidi@example.com,20210620,,20210310
45,Dave,35,dave@example.com,20210310,,20220830
46,Dave,45,dave@example.com,20210620,50000,20200101
47,Heidi,30,heidi@example.com,20200101,80000,20190715
48,Grace,,grace@example.com,20210310,60000,20210620
49,Frank,30,frank@example.com,20200101,100000,20200101
50,Frank,25,,20200101,120000,20210620
51,Grace,40,grace@example.com,20200101,100000,20181111
52,Frank,,frank@example.com,20210310,70000,20190715
53,Charlie,25,charlie@example.com,20210310,80000,20190715
54,Dave,40,dave@example.com,20220830,90000,20200101
55,Grace,30,grace@example.com,20210620,50000,20190715
56,Dave,25,dave@example.com,20220830,,20220830
57,Heidi,,heidi@example.com,20210620,90000,20190715
58,Alice,,alice@example.com,20220830,80000,20210620
59,Charlie,50,charlie@example.com,20200101,80000,20210620
60,Eve,45,eve@example.com,20210310,80000,20210620
61,Charlie,35,charlie@example.com,20200101,90000,20210620
62,Grace,40,grace@example.com,20210620,120000,20220830
63,Eve,50,eve@example.com,20210620,80000,20210310
64,Alice,35,alice@example.com,20200101,100000,20181111
65,Grace,35,grace@example.com,20220830,90000,20200101
66,Bob,25,bob@example.com,20210620,,20210620
67,Dave,35,dave@example.com,20181111,80000,20190715
68,Alice,45,,20200101,100000,20210620
69,Dave,,dave@example.com,20210310,120000,20190715
70,Frank,50,frank@example.com,20200101,70000,20181111
71,Bob,35,bob@example.com,20210310,120000,20181111
72,Bob,25,bob@example.com,20181111,,20181111
73,Alice,45,alice@example.com,20210620,80000,20190715
74,Bob,30,bob@example.com,20210620,,20210620
75,Eve,,eve@example.com,20181111,90000,20181111
76,Bob,,bob@example.com,20200101,60000,20220830
77,Dave,50,dave@example.com,20200101,80000,20190715
78,Dave,,dave@example.com,20190715,60000,20190715
79,Grace,35,grace@example.com,20200101,100000,20210620
80,Dave,25,dave@example.com,20190715,70000,20190715
81,Grace,,grace@example.com,20181111,50000,20190715
82,Dave,,dave@example.com,20220830,,20181111
83,Eve,30,eve@example.com,20190715,120000,20210620
84,Heidi,30,heidi@example.com,20200101,70000,20181111
85,Grace,40,grace@example.com,20220830,80000,20181111
86,Charlie,45,charlie@example.com,20190715,60000,20210620
87,Frank,35,frank@example.com,20181111,120000,20200101
88,Alice,,alice@example.com,20220830,60000,20181111
89,Dave,,dave@example.com,20181111,90000,20220830
90,Bob,25,bob@example.com,20190715,60000,20220830
91,Heidi,40,heidi@example.com,20181111,90000,20190715
92,Dave,45,dave@example.com,20200101,100000,20220830
93,Bob,40,bob@example.com,20190715,120000,20190715
94,Frank,50,frank@example.com,20190715,120000,20200101
95,Frank,45,frank@example.com,20190715,50000,20210620
96,Frank,,frank@example.com,20200101,80000,20210620
97,Bob,,bob@example.com,20200101,90000,20210620
98,Dave,45,dave@example.com,20200101,50000,20220830
99,Frank,,frank@example.com,20200101,60000,20200101
100,Eve,35,eve@example.com,20220830,60000,20220830
